start,target,path,path_cost,num_hops,success,error
98,194,"[98, 13, 4, 15, 194]",0.6715297661943471,4,True,
107,10,"[107, 53, 54, 77, 22, 10]",0.5416363952211953,5,True,
66,130,"[66, 127, 130]",0.47418059153228476,2,True,
124,103,"[124, 112, 128, 103]",0.11674125820876946,3,True,
77,122,"[77, 81, 122]",0.437862068908591,2,True,
91,149,"[91, 95, 50, 149]",0.31783561123199455,3,True,
55,129,"[55, 72, 81, 122, 129]",0.5448035538991947,4,True,
35,72,"[35, 16, 62, 52, 72]",0.4901638067033798,4,True,
35,193,"[35, 48, 162, 187, 194, 193]",0.5117050408999472,5,True,
24,158,"[24, 6, 13, 176, 158]",0.5483469952815979,4,True,
64,136,"[64, 99, 84, 133, 112, 136]",0.4623689631678041,5,True,
180,154,"[180, 185, 154]",0.048955446732059996,2,True,
37,79,"[37, 66, 67, 69, 79]",0.43265787059789573,4,True,
25,186,"[25, 29, 18, 166, 186]",0.3760261003503104,4,True,
18,175,"[18, 166, 186, 175]",0.390300025317541,3,True,
84,120,"[84, 99, 91, 106, 120]",0.4752386922934416,4,True,
143,25,"[143, 144, 118, 146, 178, 29, 25]",0.696327255479991,6,True,
90,111,"[90, 50, 149, 111]",0.3297131404700781,3,True,
80,156,"[80, 81, 145, 159, 175, 156]",0.6829584247864035,5,True,
163,52,"[163, 183, 167, 165, 4, 13, 98, 62, 52]",0.863619030282604,8,True,
